UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,RACE,TRAUMA1,MARITAL
0,46,1,18,12,2,1,-1,3
0,64,0,13,13,2,1,0,1
0,75,0,0,12,1,1,0,3
1,71,0,0,16,1,1,0,5
0,41,0,17,20,2,1,0,1
0,69,3,0,12,2,1,0,1
0,37,2,20,18,1,1,-1,1
0,36,1,9,14,2,1,-1,1
0,39,1,18,16,2,1,-1,1
0,52,0,0,17,1,1,0,1
0,44,2,16,14,1,1,-1,1
0,21,2,0,13,1,1,1,5
0,42,0,0,12,2,1,0,1
0,35,2,20,19,2,1,0,1
0,26,2,15,13,1,1,-1,1
0,48,1,11,12,2,1,-1,1
1,68,3,0,13,2,1,1,2
0,26,0,11,12,1,1,0,1
0,25,2,10,15,1,1,0,1
0,36,2,18,12,1,1,1,3
1,55,4,0,12,2,1,-1,3
0,41,2,22,14,1,1,-1,1
1,43,0,16,12,1,1,0,3
0,66,1,12,12,2,1,-1,2
0,42,1,16,17,2,1,0,1
0,29,1,12,16,2,1,0,1
0,41,1,15,16,2,1,0,3
0,19,1,2,11,2,1,0,5
1,47,0,20,18,1,1,0,1
0,49,0,17,13,1,1,0,3
0,58,0,17,12,1,1,0,1
1,19,0,7,12,2,1,1,5
0,35,1,12,12,1,1,0,1
1,30,2,16,12,2,1,0,1
0,42,2,16,15,1,1,-1,1
0,54,1,16,12,2,1,-1,3
1,43,2,1,12,2,1,-1,1
0,33,0,15,16,2,1,0,1
0,21,3,6,12,1,1,0,5
0,26,1,11,12,1,1,-1,1
0,42,0,98,12,1,1,0,1
0,34,0,15,17,1,1,1,1
0,25,3,10,15,2,1,0,3
0,43,1,19,11,1,1,0,1
0,65,1,18,14,1,1,0,1
0,20,1,0,12,1,1,-1,5
0,22,0,4,15,2,1,1,5
0,23,2,0,15,2,1,0,5
0,22,2,5,15,2,1,-1,5
0,22,1,3,15,1,1,0,5
0,20,1,0,13,2,1,-1,5
0,41,3,0,13,1,1,1,1
0,21,0,2,11,2,1,2,1
0,33,0,16,12,1,1,0,1
0,87,1,0,12,2,1,-1,2
0,77,0,0,12,2,1,9,3
0,40,0,15,12,1,1,0,1
0,25,1,8,16,1,1,-1,5
0,51,1,11,12,1,1,-1,1
0,32,2,0,13,2,1,-1,1
0,30,2,9,14,2,1,0,1
0,86,4,0,8,1,1,-1,2
0,40,1,12,16,2,1,-1,1
0,46,0,3,12,2,1,0,3
0,40,1,18,12,2,2,-1,1
0,43,0,21,10,1,3,0,3
0,46,2,18,12,1,1,1,1
0,70,0,0,13,2,1,1,1
0,32,0,14,12,1,1,0,1
0,37,1,19,12,1,1,0,1
0,53,0,0,12,1,1,1,5
0,32,0,1,12,2,2,1,1
0,52,0,16,6,1,1,0,1
0,71,2,0,16,2,1,0,1
1,43,3,6,12,2,1,1,3
0,25,2,13,12,1,2,-1,5
0,46,0,18,12,1,1,0,1
0,66,2,0,14,2,1,0,1
1,42,3,0,12,1,1,-1,3
0,38,1,13,11,1,3,0,3
0,23,0,11,14,1,1,0,1
0,59,0,4,8,2,1,0,1
0,35,3,0,12,2,1,-1,1
0,62,2,0,14,1,1,-1,1
0,19,2,0,11,1,1,-1,5
0,19,1,0,11,2,1,-1,5
0,58,1,0,14,2,1,-1,1
0,59,0,16,16,2,1,0,1
0,19,0,0,11,2,1,1,5
0,68,4,0,9,2,1,1,1
0,47,4,12,13,1,1,2,5
0,19,1,0,11,1,2,0,5
0,35,2,6,11,1,2,0,1
0,44,2,14,12,2,2,-1,3
0,50,2,17,11,1,1,0,2
1,41,2,17,11,2,1,1,3
0,38,2,13,14,2,2,1,1
0,36,0,14,18,2,2,0,1
0,43,1,15,13,1,2,0,1
1,35,0,0,12,2,2,9,4
0,25,3,0,12,1,2,-1,5
0,25,2,11,14,1,2,0,5
1,25,1,12,16,2,1,0,1
1,73,0,0,14,1,1,1,2
0,36,2,22,16,1,1,-1,1
0,35,2,21,13,1,1,0,1
0,67,0,0,12,2,1,1,1
0,51,0,17,13,2,1,1,3
1,58,0,9,12,2,1,1,3
0,40,1,10,12,2,1,0,1
0,68,8,0,13,1,1,3,3
0,19,1,0,8,2,2,-1,5
0,52,1,22,12,1,2,-1,1
0,40,2,10,13,1,1,-1,1
0,53,1,9,13,2,1,0,1
0,63,0,1,14,2,1,1,1
0,75,1,0,16,2,1,1,2
0,38,0,0,12,2,1,1,3
0,38,0,18,14,2,1,1,3
0,49,3,6,16,1,1,-1,3
0,50,2,5,14,2,1,-1,1
0,78,2,0,14,2,1,-1,2
0,57,1,2,8,1,2,1,1
1,69,4,0,12,2,2,0,2
0,68,0,0,12,2,1,2,1
0,72,0,0,14,1,1,0,1
0,58,0,11,12,1,1,0,1
0,45,2,11,13,2,1,-1,1
0,20,1,4,12,1,1,-1,5
0,78,2,6,9,1,1,0,1
0,52,4,0,14,1,1,1,2
0,39,1,8,14,1,1,-1,1
0,81,0,0,12,2,1,0,2
0,36,0,3,12,2,3,2,3
0,51,3,3,0,2,3,0,1
0,78,0,16,18,2,1,2,2
0,25,3,11,12,2,3,0,1
0,41,2,13,12,2,1,-1,3
0,36,2,17,19,1,1,0,1
0,33,1,99,16,2,1,0,1
0,51,2,0,12,1,1,3,1
0,47,1,11,14,2,1,1,1
0,21,1,10,13,2,1,-1,5
0,59,1,0,12,2,1,0,1
0,34,2,18,12,1,1,0,1
0,23,2,98,11,2,1,-1,1
0,76,0,0,7,1,1,0,1
0,40,2,7,12,2,1,-1,1
0,38,3,3,12,2,1,-1,1
0,66,3,0,12,2,1,-1,2
0,73,2,0,7,2,1,-1,2
0,80,0,0,8,1,1,0,5
1,57,0,0,6,2,1,9,3
0,78,2,0,11,2,1,0,2
0,66,3,0,12,2,1,-1,5
0,88,2,0,12,1,1,-1,2
0,58,0,0,12,2,1,1,1
0,39,0,13,12,1,1,1,5
0,31,0,12,12,2,1,0,3
0,51,0,8,16,2,1,0,1
0,37,1,14,17,1,1,-1,1
0,32,2,3,12,2,1,0,1
0,73,3,0,8,2,1,1,2
0,47,0,18,16,1,1,0,1
0,71,2,0,16,2,1,-1,2
1,42,1,0,14,1,1,-1,3
0,75,3,0,12,2,1,1,2
0,72,4,0,10,2,1,1,3
0,63,0,0,16,2,1,0,1
0,89,0,0,8,2,1,0,2
0,49,3,0,4,1,1,1,1
0,64,1,15,12,1,1,9,1
0,64,0,2,12,2,1,9,1
0,46,2,0,12,1,1,-1,1
1,76,4,0,8,2,1,-1,2
0,72,3,0,12,2,1,-1,1
0,77,0,0,13,2,1,1,2
0,46,0,8,12,2,1,2,3
0,24,1,7,14,1,1,-1,5
0,27,1,11,14,2,1,-1,1
0,21,3,4,9,2,1,-1,1
0,32,2,11,20,2,3,-1,5
1,40,0,19,20,1,1,0,1
0,45,2,18,17,2,1,0,3
1,26,0,15,12,2,3,0,1
0,84,0,0,16,2,1,0,2
0,46,2,16,20,2,1,-1,5
0,32,2,12,18,2,1,0,5
1,36,2,16,16,1,1,-1,5
0,21,1,0,14,2,1,0,5
1,30,1,11,14,2,1,-1,5
0,23,2,4,16,2,1,-1,5
0,51,1,9,12,2,1,0,3
0,82,0,0,14,1,1,0,1
0,40,3,21,19,1,1,1,1
0,51,0,21,16,1,1,0,1
0,54,1,10,16,2,1,0,1
0,61,2,0,12,2,1,0,1
0,27,1,12,16,1,3,-1,1
1,55,0,3,6,2,1,1,2
0,33,1,8,98,1,2,-1,1
0,61,2,3,8,2,1,-1,1
0,38,0,9,12,2,1,0,3
0,36,0,0,12,2,1,0,1
0,50,2,3,12,2,1,0,3
0,67,0,0,4,2,1,1,3
0,81,2,99,13,2,1,-1,2
0,50,1,22,17,2,1,0,1
0,63,1,21,17,1,1,-1,1
0,43,1,16,18,2,1,-1,1
0,39,1,0,17,2,1,-1,1
0,47,2,12,13,1,1,1,1
0,44,1,17,14,2,1,0,3
0,28,0,1,98,1,1,0,5
0,32,2,22,14,2,1,2,4
0,20,2,9,13,1,1,0,5
0,50,2,16,12,1,1,-1,1
0,31,0,12,14,2,1,0,1
0,49,1,16,18,2,1,0,1
0,62,2,0,14,2,1,1,2
0,66,1,1,10,1,1,-1,1
0,29,2,18,14,1,1,1,5
0,30,0,11,11,1,1,0,3
0,34,1,16,15,1,2,-1,5
0,63,2,14,12,2,2,-1,1
0,43,0,22,16,2,2,9,3
0,55,0,9,13,2,2,0,1
1,39,3,0,11,2,2,2,1
0,36,0,8,13,1,2,2,5
0,77,0,0,16,2,1,1,2
0,39,0,16,12,1,1,0,3
0,28,2,5,19,2,1,-1,5
0,23,0,5,15,1,1,0,5
0,21,4,0,14,1,1,1,5
0,63,1,0,12,1,1,0,1
0,46,1,16,14,2,1,0,1
0,42,0,15,20,1,1,0,5
0,39,1,15,19,2,1,-1,1
0,77,0,22,14,2,1,1,3
0,46,2,16,14,1,1,-1,1
0,28,2,0,13,2,1,-1,1
0,87,0,0,10,1,1,2,2
0,76,2,0,12,2,1,0,5
1,84,2,0,16,2,1,0,2
0,49,2,17,17,1,1,-1,1
0,31,0,0,16,2,3,0,1
0,56,1,19,18,2,3,-1,3
0,28,2,14,12,1,1,-1,3
0,30,2,12,12,2,1,0,1
0,24,1,2,12,1,1,0,1
0,37,1,19,18,2,1,0,1
0,48,0,12,12,2,1,2,2
0,45,2,15,13,1,1,-1,1
1,77,2,0,13,2,1,-1,2
0,73,1,0,19,2,1,-1,1
1,65,2,0,13,2,1,-1,2
0,74,3,0,12,1,1,0,1
0,22,2,11,16,2,1,0,5
0,19,1,0,11,1,1,-1,5
0,49,0,14,15,1,1,1,1
0,40,1,0,12,2,1,-1,1
1,74,0,0,12,2,1,1,2
0,89,0,0,16,2,1,9,2
0,36,2,13,9,1,1,0,3
0,35,1,2,12,1,1,-1,3
0,36,3,9,12,2,1,9,3
1,37,2,8,13,2,1,1,3
0,53,3,0,12,2,1,1,3
0,74,2,0,16,1,1,-1,3
0,55,3,16,14,1,1,1,3
0,39,1,18,16,1,1,0,1
1,89,3,0,7,2,1,-1,2
0,74,0,0,11,2,1,2,2
0,89,0,0,12,1,1,0,1
0,72,1,17,12,1,1,0,1
0,52,0,11,18,2,1,0,1
0,38,0,16,13,2,1,0,1
0,52,0,19,14,1,1,0,1
0,76,0,0,8,1,1,0,1
0,58,3,2,13,2,1,0,1
0,70,0,0,12,1,1,0,1
1,43,0,12,13,1,1,9,3
0,24,0,11,12,1,1,0,5
0,74,2,0,11,2,1,1,3
0,56,2,11,11,2,1,0,3
0,73,3,0,10,2,1,-1,2
0,39,2,0,16,1,1,0,1
0,87,3,0,13,1,1,-1,1
0,38,0,17,14,1,1,0,3
0,28,2,11,14,2,1,-1,1
0,40,0,17,15,1,1,0,1
0,24,4,11,9,1,1,-1,5
0,49,2,14,9,1,1,0,1
0,42,0,1,12,2,1,1,1
0,64,3,0,7,1,1,-1,1
0,63,2,0,9,2,1,-1,1
0,58,0,0,7,2,1,0,3
0,59,2,12,12,2,1,0,1
0,47,0,11,12,1,1,0,1
0,88,4,0,8,2,1,-1,2
1,82,4,0,12,1,1,1,2
0,87,2,0,13,1,1,0,2
0,75,1,9,12,1,1,0,1
0,43,2,2,12,1,1,-1,3
0,35,2,14,12,2,1,0,1
0,35,0,16,12,1,1,0,1
0,20,2,5,12,2,1,0,5
0,37,3,14,14,1,1,-1,1
0,24,2,6,14,2,1,0,5
0,62,3,0,9,2,1,-1,1
0,28,2,10,16,2,1,-1,1
0,51,2,13,15,2,1,0,1
0,44,0,0,12,2,1,2,1
0,36,3,2,12,1,1,1,3
0,77,1,0,15,2,1,1,2
0,44,0,11,16,1,1,0,1
0,73,3,3,12,1,1,-1,2
0,28,1,14,16,1,1,-1,3
0,51,1,22,13,1,1,1,1
0,37,0,9,12,2,1,0,1
0,64,0,0,11,1,1,0,1
0,74,0,0,12,2,1,0,2
1,57,0,0,10,1,1,2,1
0,69,2,0,12,2,1,-1,1
0,33,0,0,11,1,1,2,3
0,56,0,0,10,2,1,1,1
0,40,2,14,12,2,1,0,3
0,47,2,11,12,2,1,0,1
0,34,0,5,10,1,1,1,3
0,47,4,14,12,1,1,1,1
0,87,4,0,11,1,1,0,2
1,60,4,0,10,1,1,-1,3
0,70,0,0,6,2,1,1,2
0,43,0,19,14,1,1,0,1
0,43,2,15,16,2,1,-1,1
0,21,0,2,13,2,1,0,1
0,72,3,0,9,2,1,-1,5
0,81,2,0,13,2,1,-1,2
0,82,0,0,12,2,1,1,2
0,86,1,0,8,2,1,-1,2
0,27,1,8,13,1,1,1,3
0,77,0,0,8,2,1,1,1
0,71,1,10,8,1,1,0,1
0,62,2,9,12,1,1,0,5
0,39,1,12,16,1,1,-1,5
0,45,0,16,12,1,1,0,1
0,35,2,22,14,2,1,0,1
0,42,2,2,14,2,1,1,1
0,65,2,16,12,1,1,0,1
0,26,0,1,16,1,1,1,5
0,45,1,16,12,1,1,-1,1
0,46,0,22,12,2,1,1,1
0,47,4,3,11,2,1,-1,3
0,27,2,0,10,2,1,0,1
0,30,2,0,12,1,1,0,1
0,25,0,2,16,2,1,0,5
0,29,1,0,16,2,1,-1,1
0,52,3,0,12,2,1,1,1
0,39,0,13,12,2,1,0,1
0,52,2,10,12,2,1,-1,1
0,99,3,22,10,2,1,-1,5
0,51,0,22,12,2,1,0,1
0,28,2,15,17,1,1,-1,5
0,30,1,3,12,2,1,-1,4
1,48,0,22,10,2,1,1,4
0,36,2,9,12,2,1,1,1
0,31,0,6,12,2,1,0,1
0,29,0,9,12,1,1,1,1
0,37,2,13,12,2,1,0,1
0,55,1,16,13,1,1,1,1
0,40,0,3,12,2,1,0,1
1,20,2,5,13,1,1,0,5
0,72,2,0,12,1,1,-1,1
0,27,4,0,14,2,2,0,5
0,79,3,0,7,2,1,0,2
0,73,0,0,6,1,1,0,1
0,75,2,0,5,2,2,0,2
1,72,4,0,2,1,1,-1,1
0,75,0,0,6,1,1,1,2
0,63,4,18,9,1,1,9,1
0,21,1,5,14,2,1,0,1
0,41,3,11,12,1,1,0,1
0,33,1,10,9,1,1,-1,5
0,21,2,2,12,1,2,-1,5
1,29,0,10,11,2,2,0,3
0,40,2,0,12,2,2,0,4
0,18,0,0,11,2,1,0,5
1,73,3,0,10,1,1,1,1
0,47,2,0,8,1,1,-1,3
0,73,2,0,8,2,1,1,2
0,58,4,0,7,1,2,2,3
0,40,0,3,11,2,2,2,5
0,81,3,0,4,1,2,-1,1
0,41,2,11,12,1,1,-1,1
0,73,2,0,8,1,1,-1,1
0,33,0,15,20,1,1,0,1
1,52,1,0,16,2,1,0,1
0,34,2,0,16,2,1,-1,1
0,58,3,7,13,2,1,-1,2
1,47,0,0,12,2,1,1,2
1,79,2,0,16,1,1,0,2
0,43,2,15,14,2,2,0,5
0,63,0,0,14,2,1,1,1
0,85,2,0,2,1,1,1,1
0,45,2,22,14,2,1,-1,3
0,26,0,14,13,1,1,0,1
0,42,0,17,14,1,1,0,5
0,41,2,12,12,1,1,-1,1
1,53,4,0,7,1,1,-1,5
0,68,0,0,8,1,1,0,1
0,49,1,5,9,2,1,1,1
0,41,2,12,12,1,1,9,3
0,81,1,0,4,1,1,-1,1
0,65,1,0,13,2,1,0,1
0,42,1,12,14,2,1,0,1
0,26,1,12,12,1,2,-1,1
0,20,1,0,10,2,1,-1,1
0,57,2,10,8,2,1,-1,2
0,28,0,0,10,2,1,1,1
0,50,0,9,12,2,1,2,1
0,43,1,16,18,2,1,0,1
0,30,1,11,16,2,1,0,1
0,58,3,9,14,1,1,-1,2
0,22,1,0,16,2,1,0,5
0,63,0,0,12,1,1,1,2
0,65,4,0,10,2,1,-1,1
0,50,0,22,9,2,1,1,1
1,75,4,0,12,2,1,-1,2
0,54,4,0,9,2,1,9,1
0,33,0,22,18,1,1,0,1
0,36,0,22,12,1,1,0,1
0,82,1,21,16,1,1,-1,1
0,36,0,13,18,2,1,0,5
0,48,2,22,12,2,1,0,1
1,27,2,11,16,2,1,-1,1
1,49,0,0,7,1,1,1,3
0,55,3,0,11,1,1,-1,3
0,37,2,9,13,2,1,0,3
1,28,0,3,9,1,3,2,1
0,21,0,4,12,2,3,2,5
0,39,1,10,12,2,2,0,4
0,63,0,20,2,1,3,0,1
0,23,1,14,12,1,3,-1,1
0,18,1,4,11,2,1,1,5
0,24,2,13,13,1,1,-1,1
0,56,1,0,12,2,3,-1,1
0,31,2,9,12,1,1,1,3
0,65,2,4,14,1,1,0,5
0,47,3,18,14,1,2,-1,1
0,81,3,0,10,2,1,1,2
0,76,3,0,8,2,1,-1,2
0,48,1,16,16,2,3,0,1
1,54,4,0,7,2,3,0,5
0,23,1,2,13,2,3,-1,5
1,60,0,0,12,2,3,1,2
0,75,4,0,0,2,3,-1,2
1,75,3,0,13,2,1,-1,3
0,83,3,0,7,1,1,1,2
0,46,2,14,14,1,1,-1,1
0,35,0,17,17,2,3,0,1
1,34,3,15,13,1,2,1,4
0,67,2,2,6,1,2,-1,2
0,25,1,5,12,2,2,-1,3
